iter	RMSE
0	0.1799524483
1	0.171954172
2	0.1644445115
3	0.1579648071
4	0.1525834168
5	0.1477263905
6	0.1433348982
7	0.1397372335
8	0.1368534464
9	0.1342808881
10	0.1319129475
11	0.1299614358
12	0.1284016555
13	0.1269850784
14	0.1257878616
15	0.1247341021
16	0.1236923008
17	0.1229955556
18	0.1222588685
19	0.1215830037
20	0.1209346361
21	0.1204282965
22	0.1199012786
23	0.1195166206
24	0.1191612969
25	0.1186684077
26	0.1183579975
27	0.1180770121
28	0.1178264796
29	0.1175943484
30	0.1173716297
31	0.1169949917
32	0.1167142368
33	0.1165386695
34	0.1164223052
35	0.1162258552
36	0.1159458194
37	0.1159142531
38	0.1157585251
39	0.1156398178
40	0.1156084875
41	0.1155072663
42	0.1154184695
43	0.1152938778
44	0.1151884216
45	0.1150231205
46	0.11487344
47	0.1147311563
48	0.1145622635
49	0.1145115867
50	0.1143768092
51	0.1143064332
52	0.1141451768
53	0.1140527395
54	0.1139652452
55	0.1138540345
56	0.113704568
57	0.1136989014
58	0.1135679207
59	0.1134241567
60	0.1132426848
61	0.1131260238
62	0.1130202115
63	0.112825019
64	0.1127221691
65	0.112636691
66	0.112501927
67	0.1124640877
68	0.1124307872
69	0.1123878014
70	0.1122696287
71	0.1122481654
72	0.1122089135
73	0.1121945846
74	0.1121381992
75	0.1120453623
76	0.1119530747
77	0.1118320289
78	0.1117852034
79	0.1116612651
80	0.1114868736
81	0.1114738207
82	0.1114128744
83	0.111398216
84	0.1113037189
85	0.1112279188
86	0.1111114037
87	0.1110640735
88	0.1110373952
89	0.1109324801
90	0.1108502386
91	0.1106847688
92	0.1105319121
93	0.1104971477
94	0.1104125263
95	0.110316491
96	0.1102592513
97	0.1101228031
98	0.110029523
99	0.1099755004
