iter	Passed	Remaining
0	177	17573
1	196	9623
2	215	6974
3	236	5687
4	254	4835
5	275	4315
6	296	3940
7	317	3651
8	338	3421
9	360	3245
10	382	3097
11	403	2960
12	427	2858
13	448	2753
14	469	2660
15	491	2578
16	512	2501
17	534	2434
18	555	2366
19	577	2308
20	599	2254
21	627	2226
22	653	2186
23	677	2144
24	701	2105
25	725	2064
26	746	2017
27	767	1973
28	788	1929
29	810	1890
30	831	1850
31	852	1811
32	874	1775
33	895	1738
34	916	1702
35	938	1668
36	960	1635
37	982	1603
38	1006	1574
39	1028	1543
40	1051	1513
41	1075	1484
42	1098	1455
43	1120	1425
44	1141	1395
45	1162	1364
46	1183	1334
47	1205	1305
48	1228	1278
49	1249	1249
50	1271	1221
51	1294	1194
52	1315	1166
53	1337	1139
54	1359	1111
55	1380	1084
56	1401	1057
57	1412	1022
58	1433	995
59	1454	969
60	1476	943
61	1497	917
62	1519	892
63	1540	866
64	1561	840
65	1582	815
66	1605	790
67	1628	766
68	1651	741
69	1672	716
70	1693	691
71	1717	667
72	1738	643
73	1758	618
74	1780	593
75	1801	568
76	1824	544
77	1845	520
78	1866	496
79	1887	471
80	1909	447
81	1930	423
82	1952	399
83	1972	375
84	1994	352
85	2016	328
86	2039	304
87	2060	280
88	2090	258
89	2111	234
90	2132	210
91	2153	187
92	2175	163
93	2196	140
94	2217	116
95	2238	93
96	2258	69
97	2280	46
98	2301	23
99	2322	0
